name1;name2;weight;Source;Target
#WakeUpAmerica;#NewDay;12.19540009;362;225
#TRUMPDOG;#TrumpTrain;12.19512195;319;328
#NewDay;#WakeUpAmerica;12.19512195;225;362
#MakeAmericaGreatAgain;#NoLoyalty;12.0304907;173;230
#DemsInPhilly;#DNCinPHL;11.81389248;75;79
#NoLoyalty;#MakeAmericaGreatAgain;11.36363636;230;173
#debatenight;#AmericaFirst;11.28271179;64;15
#GOPDebate;#Trump2016;11.21762169;112;314
#MAKEAMERICAGREATAGAIN;#trump;11.17601486;173;313
#trump;#MAKEAMERICAGREATAGAIN;11.17511358;313;173
#NationalVoterRegistrationDay;#ImWithYou;10.92319727;205;133
#Trump2016;#WIPrimary;10.72755589;314;428
#MAGA;#NationalVoterRegistrationDay;10.72535152;172;205
#Trump2016;#voteTrump;10.69925367;314;348
#VoteTrumpMI;#VoteTrumpNC;10.6404389;352;353
#VoteTrumpNC;#VoteTrumpMI;10.63829787;353;352
#AmericaFirst;#MakeAmericaGreatAgain;10.60320626;15;173
#Debate;#DebateNight;10.47120419;63;64
#NationalVoterRegistrationDay;#AmericaFirst;10.40626706;205;15
#FITN;#CommonCore;10.34931066;95;50
#ImWithHer;#DemsInPhilly;10.2500612;133;75
#enough;#DemsInPhilly;10.20408163;91;75
#Trump2016;#SOTU;10.11590739;314;281
#AmericaFirst;#debatenight;10.05636817;15;64
#NHPrimary;#CommonCore;10.03910655;228;50
#ImWithHer;#StopGunViolence;10.03444269;133;290
#StopGunViolence;#ImWithHer;9.9780517;290;133
#StopGunViolence;#enough;9.950831745;290;91
#enough;#StopGunViolence;9.950248756;91;290
#CommonCore;#NHPrimary;9.900990099;50;228
#CommonCore;#FITN;9.900990099;50;95
#Trump;#POTUS;9.827081888;313;247
#POTUS;#Trump;9.822386599;247;313
#MakeAmericaGreatAgain;#WIPrimary;9.750904734;173;428
#MakeAmericaGreatAgain;#AmericaFirst;9.741542249;173;15
#NationalVoterRegistrationDay;#SheWon;9.636332529;205;279
#TPP;#debatenight;9.523809524;312;64
#voteTrump;#Trump2016;9.523809524;348;314
#Trump2016;#AmericaFirst;9.519570795;314;15
#TrumpTrain;#Trump2016;9.463742933;328;314
#WIPrimary;#MakeAmericaGreatAgain;9.397547398;428;173
#DebateNight;#slipping;9.303417674;64;280
#DebateNight;#Polls;9.303417674;64;247
#AmericaFirst;#LeadRight2016;9.290992158;15;156
#POTUS;#Trump2016;9.280980071;247;314
#MakeAmericaGreatAgain;#VoteTrumpSC;9.267660506;173;357
#Trump2016;#NYPrimary;9.262269156;314;232
#WeMadeHistory;#DemsInPhilly;9.231419311;364;75
#DebateNight;#ImWithYou;9.054819425;64;133
#RNCInCLE;#RNCinCLE;9.03708155;257;257
#VoteTrump;#Ted;8.904825245;348;305
#Ted;#VoteTrump;8.849557522;305;348
#MakeAmericaGreatAgain;#PAPrimary;8.797914088;173;243
#MakeAmericaGreatAgain;#MegynKellyPresents;8.780793822;173;191
#TrumpPence16;#ImWithYou;8.689936483;325;133
#trump;#HaileyPuckett;8.658317579;313;118
#HaileyPuckett;#trump;8.658008658;118;313
#CrookedHillary;#POTUS;8.615103536;54;247
#NoMoreSilence;#goodtrouble;8.611835872;231;108
#MakeAmericaGreatAgain;#SCPrimary;8.590205301;173;277
#POTUS;#CrookedHillary;8.587664507;247;54
#TedCruz;#TrumpTrain;8.58024599;306;328
#PAPrimary;#MakeAmericaGreatAgain;8.524072612;243;173
#MakeAmericaGreatAgain;#laurencetribe;8.447549599;173;156
#goodtrouble;#NoMoreSilence;8.368200837;108;231
#goodtrouble;#holdthefloor;8.368200837;108;129
#holdthefloor;#goodtrouble;8.368200837;129;108
#VoteTrump;#laurencetribe;8.130538774;348;156
#MegynKellyPresents;#MakeAmericaGreatAgain;8.097165992;191;173
#laurencetribe;#VoteTrump;8.032128514;156;348
#laurencetribe;#MakeAmericaGreatAgain;8.032128514;156;173
#RNCinCLE;#GOPinCLE;7.880283767;257;116
#Benghazi;#ISIS;7.843137255;23;145
#ISIS;#Benghazi;7.843137255;145;23
#ISIS;#Debates2016;7.843137255;145;65
#DemsInPhilly;#LoveTrumpsHate;7.764013781;75;158
#RNCInCLE;#RNCwithBernie;7.722453205;257;265
#TPP;#debate;7.692307692;312;63
#Debates2016;#Benghazi;7.686445951;65;23
#ImWithYou;#NationalVoterRegistrationDay;7.659822857;133;205
#LGBT;#DemsInPhilly;7.539296752;158;75
#MAGA;#Debate;7.517751585;172;63
#MakeAmericaGreatAgain;#IACaucus;7.471653014;173;131
#AmericaFirst;#NationalVoterRegistrationDay;7.372940604;15;205
#WeMadeHistory;#ImWithHer;7.344925135;364;133
#SheWon;#AmericaFirst;7.2711097;279;15
#SheWon;#ImWithYou;7.2711097;279;133
#AmericaFirst;#Charleston9;7.234299962;15;42
#TrumpTrain;#TedCruz;7.206003509;328;306
#TrumpTrain;#LaurenceTribe;7.205997971;328;156
#LaurenceTribe;#TrumpTrain;7.194244604;156;328
#TPP;#DebateNight;7.117437722;312;64
#Trump2016;#Charleston9;7.039716839;314;42
#MakeAmericaGreatAgain;#TrumpPence16;7.017476626;173;325
#NoBillNoBreak;#sitin;7.012593172;229;280
#IACaucus;#MakeAmericaGreatAgain;6.938378376;131;173
#RNCwithBernie;#RNCinCLE;6.920415225;265;257
#Pulse;#DemsInPhilly;6.872852234;250;75
#VoteTrumpIL;#VoteTrumpMA;6.688963211;350;351
#VoteTrumpMA;#VoteTrumpIL;6.688963211;351;350
#SheWon;#NationalVoterRegistrationDay;6.686580391;279;205
#Charleston9;#AmericaFirst;6.622516556;42;15
#Charleston9;#Trump2016;6.622516556;42;314
#DemsInPhilly;#TrumpPence16;6.56997374;75;325
#MAGA;#TrumpPence16;6.451322584;172;325
#TrumpPence16;#MyTeacherIsWeird;6.345563376;325;202
#TrumpPence16;#FallonTonight;6.345563376;325;94
#TheTonightShow;#MyTeacherIsWeird;6.329113924;311;202
#TheTonightShow;#FallonTonight;6.329113924;311;94
#MyTeacherIsWeird;#TrumpPence16;6.329113924;202;325
#MyTeacherIsWeird;#TheTonightShow;6.329113924;202;311
#MyTeacherIsWeird;#TheDonald;6.329113924;202;310
#MyTeacherIsWeird;#JimmyFallon;6.329113924;202;146
#FallonTonight;#TrumpPence16;6.329113924;94;325
#FallonTonight;#TheTonightShow;6.329113924;94;311
#FallonTonight;#TheDonald;6.329113924;94;310
#FallonTonight;#JimmyFallon;6.329113924;94;146
#TheDonald;#MyTeacherIsWeird;6.329113924;310;202
#TheDonald;#FallonTonight;6.329113924;310;94
#JimmyFallon;#MyTeacherIsWeird;6.329113924;146;202
#JimmyFallon;#FallonTonight;6.329113924;146;94
#NoBillNoBreak;#gunviolence;6.312318218;229;118
#NoBillNoBreak;#AsLongAsItTakes;6.312318218;229;22
#VoteTrumpNC;#VoteTrumpMA;6.289308176;353;351
#VoteTrumpMA;#VoteTrumpNC;6.289308176;351;353
#DebateNight;#TrumpPence16;6.213381283;64;325
#debate;#Debate;6.174783975;63;63
#RNCwithBernie;#RNCInCLE;5.970149254;265;257
#TrumpPence16;#MakeAmericaGreatAgain;5.947154054;325;173
#CrookedHillary;#WORK;5.944982693;54;429
#Trump2016;#UPUPUP;5.859556196;314;337
#WIPrimary;#WISCONSIN;5.844043102;428;428
